Order_ID,Customer_ID,Date,Amount,Category
1.0,202,2025-08-24,641.0175840566628,Electronics
2.0,192,2025-02-17,786.67653563792,Electronics
3.0,114,2025-02-26,134.19184139208235,Books
4.0,206,2025-10-04,1291.5538604528494,Home
5.0,171,2025-12-04,1442.8711745181558,Home
6.0,120,2025-04-09,1048.193537860776,Books
7.0,202,2025-01-15,578.3340264451163,Home
8.0,221,2025-11-21,1410.9704579023548,Clothing
9.0,174,2025-06-28,1011.0644752448169,Electronics
10.0,187,2025-11-28,1274.2836463390397,Books
11.0,216,2025-03-03,1160.4858408536636,Clothing
12.0,199,2025-04-29,599.752007870259,Electronics
13.0,203,2025-02-06,744.118191233639,Books
14.0,230,2025-05-14,319.89162383374423,Home
15.0,249,2025-01-26,473.4204456390644,Books
16.0,152,2025-01-08,1178.2822088654566,Books
17.0,101,2025-01-04,1346.268668230507,Electronics
18.0,187,2025-01-21,1100.467613714547,Electronics
19.0,137,2025-05-29,724.5018601521256,Electronics
20.0,229,2025-01-25,175.43843996263394,Clothing
21.0,120,2025-05-23,132.5745256127499,Home
22.0,157,2025-09-02,592.772068688638,Clothing
23.0,121,2025-02-12,722.5414922131115,Books
24.0,188,2025-10-20,933.2249022092805,Home
25.0,148,2025-07-04,59.40980601114595,Books
26.0,158,2025-02-11,1485.0981911761442,Electronics
27.0,114,2025-04-02,577.7113809358622,Books
28.0,150,2025-11-13,1279.737262511626,Home
29.0,207,2025-11-20,825.7017232148363,Clothing
30.0,154,2025-02-22,239.1372090733524,Clothing
31.0,163,2025-03-25,1206.4700511750568,Home
32.0,230,2025-02-03,1079.2492586338203,Books
33.0,150,2025-03-17,814.7823231473806,Books
34.0,234,2025-12-19,796.101982433981,Clothing
35.0,120,2025-07-16,176.8454283388457,Books
36.0,172,2025-10-13,1000.9809754321175,Clothing
37.0,117,2025-03-29,1371.3054758437347,Home
38.0,231,2025-08-23,185.2051328709696,Home
39.0,188,2025-08-20,432.09160344091214,Books
40.0,159,2025-01-07,1358.3465614910433,Electronics
41.0,113,2025-10-19,786.67653563792,Electronics
42.0,108,2025-02-07,998.2183246608931,Clothing
43.0,189,2025-02-21,825.486339167559,Home
44.0,152,2025-05-23,914.6750272556,Clothing
45.0,229,2025-08-09,652.893907287017,Home
46.0,183,2025-08-28,484.98763230288114,Clothing
47.0,191,2025-05-23,120.37350355802,Clothing
48.0,210,2025-12-15,1129.207361976538,Clothing
49.0,107,2025-12-29,1131.835520181629,Books
50.0,134,2025-02-18,1022.5523231141486,Electronics
51.0,180,2025-10-04,983.2689927734498,Home
52.0,149,2025-09-28,403.38984164291304,Clothing
53.0,203,2025-01-14,82.40015396112224,Electronics
54.0,231,2025-10-25,1222.6373254838875,Clothing
55.0,101,2025-01-15,762.1508767589489,Clothing
56.0,233,2025-08-22,494.9152895187966,Home
57.0,153,2025-03-04,197.80126483182661,Books
58.0,205,2025-07-15,140.94630680701317,Clothing
59.0,103,2025-01-27,555.8567466030071,Home
60.0,153,2025-04-03,1216.8687439120638,Books
61.0,245,2025-04-15,1382.1494365340543,Books
62.0,143,2025-11-05,1350.2894786889437,Electronics
63.0,113,2025-02-21,1384.0012103869997,Electronics
64.0,194,2025-11-15,1366.201747537547,Clothing
65.0,147,2025-06-30,814.4758898205739,Electronics
66.0,114,2025-02-26,368.15267590751057,Home
67.0,139,2025-04-30,1207.1675451133897,Home
68.0,181,2025-11-04,359.8838135362396,Electronics
69.0,210,2025-12-29,437.4505512970252,Home
70.0,152,2025-02-12,388.21876664269524,Home
71.0,123,2025-05-15,796.7244853589185,Clothing
72.0,223,2025-09-17,516.6498868451658,Clothing
73.0,140,2025-07-16,273.5262719567451,Home
74.0,114,2025-05-13,707.1014472461295,Electronics
75.0,144,2025-09-12,1317.165496238492,Home
76.0,164,2025-08-08,877.3016396774597,Books
77.0,188,2025-12-02,1323.5866285370012,Books
78.0,170,2025-02-10,334.01466836474924,Books
79.0,108,2025-09-12,292.1121168252033,Clothing
80.0,187,2025-01-02,884.5868322627093,Electronics
81.0,228,2025-07-14,721.8269072420959,Home
82.0,235,2025-08-30,1007.2503303880875,Electronics
83.0,162,2025-05-29,1202.2088469888333,Electronics
84.0,238,2025-07-17,786.67653563792,Electronics
85.0,180,2025-10-26,1416.2787018049137,Books
86.0,235,2025-09-02,627.4717932776667,Home
87.0,132,2025-12-04,349.2607762598621,Clothing
88.0,222,2025-04-18,848.8233279244344,Electronics
89.0,104,2025-07-31,210.5775242772191,Electronics
90.0,140,2025-06-05,468.83412883086555,Books
91.0,127,2025-01-26,351.4376801315595,Books
92.0,234,2025-03-23,625.0173893557674,Home
93.0,171,2025-03-24,211.2640337532123,Clothing
94.0,111,2025-05-11,96.17052959474188,Clothing
95.0,132,2025-11-25,1002.3513067135461,Books
96.0,147,2025-04-10,934.861018520217,Home
97.0,161,2025-09-13,1077.1204572560587,Electronics
98.0,136,2025-02-18,1007.5603383934488,Home
99.0,198,2025-03-04,215.72728765645607,Clothing
100.0,203,2025-11-07,472.06437799468716,Books
101.0,134,2025-10-17,237.81358435551093,Electronics
102.0,200,2025-04-15,1272.3099829704165,Electronics
103.0,230,2025-04-15,1133.0103002655087,Clothing
104.0,100,2025-11-21,342.2141542314515,Electronics
105.0,104,2025-01-15,544.8983987103454,Home
106.0,241,2025-06-24,1451.5917387831107,Clothing
